"metric" "n_bands" "simulation" "n" "method" "value"
"lambda" "1" "11" "45" "LASSO" 1e-04
"lambdar0" "1" "11" "45" "LASSO" 1e-04
"kappa" "1" "11" "45" "LASSO" 1e-04
"condnum" "1" "11" "45" "LASSO" 1e-04
"EL" "1" "11" "45" "LASSO" 1e-04
"RMSE" "1" "11" "45" "LASSO" 1e-04
"F1" "1" "11" "45" "LASSO" 1e-04
"eTPR" "1" "11" "45" "LASSO" 1e-04
"eTNR" "1" "11" "45" "LASSO" 1e-04
"ePPV" "1" "11" "45" "LASSO" 1e-04
"d" "1" "11" "45" "LASSO" 1e-04
"iters" "1" "11" "45" "LASSO" 1e-04
"time.user.self" "1" "11" "45" "LASSO" 1e-04
"time.sys.self" "1" "11" "45" "LASSO" 1e-04
"time.elapsed" "1" "11" "45" "LASSO" 1e-04
"time.user.child" "1" "11" "45" "LASSO" 1e-04
"time.sys.child" "1" "11" "45" "LASSO" 1e-04
"cv.iters" "1" "11" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "11" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "11" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "11" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "11" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "11" "45" "LASSO" 1e-04
"n.cv.par" "1" "11" "45" "LASSO" 1e-04
"lambda" "7" "11" "45" "LASSO" 1e-04
"lambdar0" "7" "11" "45" "LASSO" 1e-04
"kappa" "7" "11" "45" "LASSO" 1e-04
"condnum" "7" "11" "45" "LASSO" 1e-04
"EL" "7" "11" "45" "LASSO" 1e-04
"RMSE" "7" "11" "45" "LASSO" 1e-04
"F1" "7" "11" "45" "LASSO" 1e-04
"eTPR" "7" "11" "45" "LASSO" 1e-04
"eTNR" "7" "11" "45" "LASSO" 1e-04
"ePPV" "7" "11" "45" "LASSO" 1e-04
"d" "7" "11" "45" "LASSO" 1e-04
"iters" "7" "11" "45" "LASSO" 1e-04
"time.user.self" "7" "11" "45" "LASSO" 1e-04
"time.sys.self" "7" "11" "45" "LASSO" 1e-04
"time.elapsed" "7" "11" "45" "LASSO" 1e-04
"time.user.child" "7" "11" "45" "LASSO" 1e-04
"time.sys.child" "7" "11" "45" "LASSO" 1e-04
"cv.iters" "7" "11" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "11" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "11" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "11" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "11" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "11" "45" "LASSO" 1e-04
"n.cv.par" "7" "11" "45" "LASSO" 1e-04
"lambda" "14" "11" "45" "LASSO" 1e-04
"lambdar0" "14" "11" "45" "LASSO" 1e-04
"kappa" "14" "11" "45" "LASSO" 1e-04
"condnum" "14" "11" "45" "LASSO" 1e-04
"EL" "14" "11" "45" "LASSO" 1e-04
"RMSE" "14" "11" "45" "LASSO" 1e-04
"F1" "14" "11" "45" "LASSO" 1e-04
"eTPR" "14" "11" "45" "LASSO" 1e-04
"eTNR" "14" "11" "45" "LASSO" 1e-04
"ePPV" "14" "11" "45" "LASSO" 1e-04
"d" "14" "11" "45" "LASSO" 1e-04
"iters" "14" "11" "45" "LASSO" 1e-04
"time.user.self" "14" "11" "45" "LASSO" 1e-04
"time.sys.self" "14" "11" "45" "LASSO" 1e-04
"time.elapsed" "14" "11" "45" "LASSO" 1e-04
"time.user.child" "14" "11" "45" "LASSO" 1e-04
"time.sys.child" "14" "11" "45" "LASSO" 1e-04
"cv.iters" "14" "11" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "11" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "11" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "11" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "11" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "11" "45" "LASSO" 1e-04
"n.cv.par" "14" "11" "45" "LASSO" 1e-04
"lambda" "1" "12" "45" "LASSO" 1e-04
"lambdar0" "1" "12" "45" "LASSO" 1e-04
"kappa" "1" "12" "45" "LASSO" 1e-04
"condnum" "1" "12" "45" "LASSO" 1e-04
"EL" "1" "12" "45" "LASSO" 1e-04
"RMSE" "1" "12" "45" "LASSO" 1e-04
"F1" "1" "12" "45" "LASSO" 1e-04
"eTPR" "1" "12" "45" "LASSO" 1e-04
"eTNR" "1" "12" "45" "LASSO" 1e-04
"ePPV" "1" "12" "45" "LASSO" 1e-04
"d" "1" "12" "45" "LASSO" 1e-04
"iters" "1" "12" "45" "LASSO" 1e-04
"time.user.self" "1" "12" "45" "LASSO" 1e-04
"time.sys.self" "1" "12" "45" "LASSO" 1e-04
"time.elapsed" "1" "12" "45" "LASSO" 1e-04
"time.user.child" "1" "12" "45" "LASSO" 1e-04
"time.sys.child" "1" "12" "45" "LASSO" 1e-04
"cv.iters" "1" "12" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "12" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "12" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "12" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "12" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "12" "45" "LASSO" 1e-04
"n.cv.par" "1" "12" "45" "LASSO" 1e-04
"lambda" "7" "12" "45" "LASSO" 1e-04
"lambdar0" "7" "12" "45" "LASSO" 1e-04
"kappa" "7" "12" "45" "LASSO" 1e-04
"condnum" "7" "12" "45" "LASSO" 1e-04
"EL" "7" "12" "45" "LASSO" 1e-04
"RMSE" "7" "12" "45" "LASSO" 1e-04
"F1" "7" "12" "45" "LASSO" 1e-04
"eTPR" "7" "12" "45" "LASSO" 1e-04
"eTNR" "7" "12" "45" "LASSO" 1e-04
"ePPV" "7" "12" "45" "LASSO" 1e-04
"d" "7" "12" "45" "LASSO" 1e-04
"iters" "7" "12" "45" "LASSO" 1e-04
"time.user.self" "7" "12" "45" "LASSO" 1e-04
"time.sys.self" "7" "12" "45" "LASSO" 1e-04
"time.elapsed" "7" "12" "45" "LASSO" 1e-04
"time.user.child" "7" "12" "45" "LASSO" 1e-04
"time.sys.child" "7" "12" "45" "LASSO" 1e-04
"cv.iters" "7" "12" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "12" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "12" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "12" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "12" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "12" "45" "LASSO" 1e-04
"n.cv.par" "7" "12" "45" "LASSO" 1e-04
"lambda" "14" "12" "45" "LASSO" 1e-04
"lambdar0" "14" "12" "45" "LASSO" 1e-04
"kappa" "14" "12" "45" "LASSO" 1e-04
"condnum" "14" "12" "45" "LASSO" 1e-04
"EL" "14" "12" "45" "LASSO" 1e-04
"RMSE" "14" "12" "45" "LASSO" 1e-04
"F1" "14" "12" "45" "LASSO" 1e-04
"eTPR" "14" "12" "45" "LASSO" 1e-04
"eTNR" "14" "12" "45" "LASSO" 1e-04
"ePPV" "14" "12" "45" "LASSO" 1e-04
"d" "14" "12" "45" "LASSO" 1e-04
"iters" "14" "12" "45" "LASSO" 1e-04
"time.user.self" "14" "12" "45" "LASSO" 1e-04
"time.sys.self" "14" "12" "45" "LASSO" 1e-04
"time.elapsed" "14" "12" "45" "LASSO" 1e-04
"time.user.child" "14" "12" "45" "LASSO" 1e-04
"time.sys.child" "14" "12" "45" "LASSO" 1e-04
"cv.iters" "14" "12" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "12" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "12" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "12" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "12" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "12" "45" "LASSO" 1e-04
"n.cv.par" "14" "12" "45" "LASSO" 1e-04
"lambda" "1" "13" "45" "LASSO" 1e-04
"lambdar0" "1" "13" "45" "LASSO" 1e-04
"kappa" "1" "13" "45" "LASSO" 1e-04
"condnum" "1" "13" "45" "LASSO" 1e-04
"EL" "1" "13" "45" "LASSO" 1e-04
"RMSE" "1" "13" "45" "LASSO" 1e-04
"F1" "1" "13" "45" "LASSO" 1e-04
"eTPR" "1" "13" "45" "LASSO" 1e-04
"eTNR" "1" "13" "45" "LASSO" 1e-04
"ePPV" "1" "13" "45" "LASSO" 1e-04
"d" "1" "13" "45" "LASSO" 1e-04
"iters" "1" "13" "45" "LASSO" 1e-04
"time.user.self" "1" "13" "45" "LASSO" 1e-04
"time.sys.self" "1" "13" "45" "LASSO" 1e-04
"time.elapsed" "1" "13" "45" "LASSO" 1e-04
"time.user.child" "1" "13" "45" "LASSO" 1e-04
"time.sys.child" "1" "13" "45" "LASSO" 1e-04
"cv.iters" "1" "13" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "13" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "13" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "13" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "13" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "13" "45" "LASSO" 1e-04
"n.cv.par" "1" "13" "45" "LASSO" 1e-04
"lambda" "7" "13" "45" "LASSO" 1e-04
"lambdar0" "7" "13" "45" "LASSO" 1e-04
"kappa" "7" "13" "45" "LASSO" 1e-04
"condnum" "7" "13" "45" "LASSO" 1e-04
"EL" "7" "13" "45" "LASSO" 1e-04
"RMSE" "7" "13" "45" "LASSO" 1e-04
"F1" "7" "13" "45" "LASSO" 1e-04
"eTPR" "7" "13" "45" "LASSO" 1e-04
"eTNR" "7" "13" "45" "LASSO" 1e-04
"ePPV" "7" "13" "45" "LASSO" 1e-04
"d" "7" "13" "45" "LASSO" 1e-04
"iters" "7" "13" "45" "LASSO" 1e-04
"time.user.self" "7" "13" "45" "LASSO" 1e-04
"time.sys.self" "7" "13" "45" "LASSO" 1e-04
"time.elapsed" "7" "13" "45" "LASSO" 1e-04
"time.user.child" "7" "13" "45" "LASSO" 1e-04
"time.sys.child" "7" "13" "45" "LASSO" 1e-04
"cv.iters" "7" "13" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "13" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "13" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "13" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "13" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "13" "45" "LASSO" 1e-04
"n.cv.par" "7" "13" "45" "LASSO" 1e-04
"lambda" "14" "13" "45" "LASSO" 1e-04
"lambdar0" "14" "13" "45" "LASSO" 1e-04
"kappa" "14" "13" "45" "LASSO" 1e-04
"condnum" "14" "13" "45" "LASSO" 1e-04
"EL" "14" "13" "45" "LASSO" 1e-04
"RMSE" "14" "13" "45" "LASSO" 1e-04
"F1" "14" "13" "45" "LASSO" 1e-04
"eTPR" "14" "13" "45" "LASSO" 1e-04
"eTNR" "14" "13" "45" "LASSO" 1e-04
"ePPV" "14" "13" "45" "LASSO" 1e-04
"d" "14" "13" "45" "LASSO" 1e-04
"iters" "14" "13" "45" "LASSO" 1e-04
"time.user.self" "14" "13" "45" "LASSO" 1e-04
"time.sys.self" "14" "13" "45" "LASSO" 1e-04
"time.elapsed" "14" "13" "45" "LASSO" 1e-04
"time.user.child" "14" "13" "45" "LASSO" 1e-04
"time.sys.child" "14" "13" "45" "LASSO" 1e-04
"cv.iters" "14" "13" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "13" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "13" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "13" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "13" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "13" "45" "LASSO" 1e-04
"n.cv.par" "14" "13" "45" "LASSO" 1e-04
"lambda" "1" "14" "45" "LASSO" 1e-04
"lambdar0" "1" "14" "45" "LASSO" 1e-04
"kappa" "1" "14" "45" "LASSO" 1e-04
"condnum" "1" "14" "45" "LASSO" 1e-04
"EL" "1" "14" "45" "LASSO" 1e-04
"RMSE" "1" "14" "45" "LASSO" 1e-04
"F1" "1" "14" "45" "LASSO" 1e-04
"eTPR" "1" "14" "45" "LASSO" 1e-04
"eTNR" "1" "14" "45" "LASSO" 1e-04
"ePPV" "1" "14" "45" "LASSO" 1e-04
"d" "1" "14" "45" "LASSO" 1e-04
"iters" "1" "14" "45" "LASSO" 1e-04
"time.user.self" "1" "14" "45" "LASSO" 1e-04
"time.sys.self" "1" "14" "45" "LASSO" 1e-04
"time.elapsed" "1" "14" "45" "LASSO" 1e-04
"time.user.child" "1" "14" "45" "LASSO" 1e-04
"time.sys.child" "1" "14" "45" "LASSO" 1e-04
"cv.iters" "1" "14" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "14" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "14" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "14" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "14" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "14" "45" "LASSO" 1e-04
"n.cv.par" "1" "14" "45" "LASSO" 1e-04
"lambda" "7" "14" "45" "LASSO" 1e-04
"lambdar0" "7" "14" "45" "LASSO" 1e-04
"kappa" "7" "14" "45" "LASSO" 1e-04
"condnum" "7" "14" "45" "LASSO" 1e-04
"EL" "7" "14" "45" "LASSO" 1e-04
"RMSE" "7" "14" "45" "LASSO" 1e-04
"F1" "7" "14" "45" "LASSO" 1e-04
"eTPR" "7" "14" "45" "LASSO" 1e-04
"eTNR" "7" "14" "45" "LASSO" 1e-04
"ePPV" "7" "14" "45" "LASSO" 1e-04
"d" "7" "14" "45" "LASSO" 1e-04
"iters" "7" "14" "45" "LASSO" 1e-04
"time.user.self" "7" "14" "45" "LASSO" 1e-04
"time.sys.self" "7" "14" "45" "LASSO" 1e-04
"time.elapsed" "7" "14" "45" "LASSO" 1e-04
"time.user.child" "7" "14" "45" "LASSO" 1e-04
"time.sys.child" "7" "14" "45" "LASSO" 1e-04
"cv.iters" "7" "14" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "14" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "14" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "14" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "14" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "14" "45" "LASSO" 1e-04
"n.cv.par" "7" "14" "45" "LASSO" 1e-04
"lambda" "14" "14" "45" "LASSO" 1e-04
"lambdar0" "14" "14" "45" "LASSO" 1e-04
"kappa" "14" "14" "45" "LASSO" 1e-04
"condnum" "14" "14" "45" "LASSO" 1e-04
"EL" "14" "14" "45" "LASSO" 1e-04
"RMSE" "14" "14" "45" "LASSO" 1e-04
"F1" "14" "14" "45" "LASSO" 1e-04
"eTPR" "14" "14" "45" "LASSO" 1e-04
"eTNR" "14" "14" "45" "LASSO" 1e-04
"ePPV" "14" "14" "45" "LASSO" 1e-04
"d" "14" "14" "45" "LASSO" 1e-04
"iters" "14" "14" "45" "LASSO" 1e-04
"time.user.self" "14" "14" "45" "LASSO" 1e-04
"time.sys.self" "14" "14" "45" "LASSO" 1e-04
"time.elapsed" "14" "14" "45" "LASSO" 1e-04
"time.user.child" "14" "14" "45" "LASSO" 1e-04
"time.sys.child" "14" "14" "45" "LASSO" 1e-04
"cv.iters" "14" "14" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "14" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "14" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "14" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "14" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "14" "45" "LASSO" 1e-04
"n.cv.par" "14" "14" "45" "LASSO" 1e-04
"lambda" "1" "15" "45" "LASSO" 1e-04
"lambdar0" "1" "15" "45" "LASSO" 1e-04
"kappa" "1" "15" "45" "LASSO" 1e-04
"condnum" "1" "15" "45" "LASSO" 1e-04
"EL" "1" "15" "45" "LASSO" 1e-04
"RMSE" "1" "15" "45" "LASSO" 1e-04
"F1" "1" "15" "45" "LASSO" 1e-04
"eTPR" "1" "15" "45" "LASSO" 1e-04
"eTNR" "1" "15" "45" "LASSO" 1e-04
"ePPV" "1" "15" "45" "LASSO" 1e-04
"d" "1" "15" "45" "LASSO" 1e-04
"iters" "1" "15" "45" "LASSO" 1e-04
"time.user.self" "1" "15" "45" "LASSO" 1e-04
"time.sys.self" "1" "15" "45" "LASSO" 1e-04
"time.elapsed" "1" "15" "45" "LASSO" 1e-04
"time.user.child" "1" "15" "45" "LASSO" 1e-04
"time.sys.child" "1" "15" "45" "LASSO" 1e-04
"cv.iters" "1" "15" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "15" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "15" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "15" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "15" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "15" "45" "LASSO" 1e-04
"n.cv.par" "1" "15" "45" "LASSO" 1e-04
"lambda" "7" "15" "45" "LASSO" 1e-04
"lambdar0" "7" "15" "45" "LASSO" 1e-04
"kappa" "7" "15" "45" "LASSO" 1e-04
"condnum" "7" "15" "45" "LASSO" 1e-04
"EL" "7" "15" "45" "LASSO" 1e-04
"RMSE" "7" "15" "45" "LASSO" 1e-04
"F1" "7" "15" "45" "LASSO" 1e-04
"eTPR" "7" "15" "45" "LASSO" 1e-04
"eTNR" "7" "15" "45" "LASSO" 1e-04
"ePPV" "7" "15" "45" "LASSO" 1e-04
"d" "7" "15" "45" "LASSO" 1e-04
"iters" "7" "15" "45" "LASSO" 1e-04
"time.user.self" "7" "15" "45" "LASSO" 1e-04
"time.sys.self" "7" "15" "45" "LASSO" 1e-04
"time.elapsed" "7" "15" "45" "LASSO" 1e-04
"time.user.child" "7" "15" "45" "LASSO" 1e-04
"time.sys.child" "7" "15" "45" "LASSO" 1e-04
"cv.iters" "7" "15" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "15" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "15" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "15" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "15" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "15" "45" "LASSO" 1e-04
"n.cv.par" "7" "15" "45" "LASSO" 1e-04
"lambda" "14" "15" "45" "LASSO" 1e-04
"lambdar0" "14" "15" "45" "LASSO" 1e-04
"kappa" "14" "15" "45" "LASSO" 1e-04
"condnum" "14" "15" "45" "LASSO" 1e-04
"EL" "14" "15" "45" "LASSO" 1e-04
"RMSE" "14" "15" "45" "LASSO" 1e-04
"F1" "14" "15" "45" "LASSO" 1e-04
"eTPR" "14" "15" "45" "LASSO" 1e-04
"eTNR" "14" "15" "45" "LASSO" 1e-04
"ePPV" "14" "15" "45" "LASSO" 1e-04
"d" "14" "15" "45" "LASSO" 1e-04
"iters" "14" "15" "45" "LASSO" 1e-04
"time.user.self" "14" "15" "45" "LASSO" 1e-04
"time.sys.self" "14" "15" "45" "LASSO" 1e-04
"time.elapsed" "14" "15" "45" "LASSO" 1e-04
"time.user.child" "14" "15" "45" "LASSO" 1e-04
"time.sys.child" "14" "15" "45" "LASSO" 1e-04
"cv.iters" "14" "15" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "15" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "15" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "15" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "15" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "15" "45" "LASSO" 1e-04
"n.cv.par" "14" "15" "45" "LASSO" 1e-04
"lambda" "1" "16" "45" "LASSO" 1e-04
"lambdar0" "1" "16" "45" "LASSO" 1e-04
"kappa" "1" "16" "45" "LASSO" 1e-04
"condnum" "1" "16" "45" "LASSO" 1e-04
"EL" "1" "16" "45" "LASSO" 1e-04
"RMSE" "1" "16" "45" "LASSO" 1e-04
"F1" "1" "16" "45" "LASSO" 1e-04
"eTPR" "1" "16" "45" "LASSO" 1e-04
"eTNR" "1" "16" "45" "LASSO" 1e-04
"ePPV" "1" "16" "45" "LASSO" 1e-04
"d" "1" "16" "45" "LASSO" 1e-04
"iters" "1" "16" "45" "LASSO" 1e-04
"time.user.self" "1" "16" "45" "LASSO" 1e-04
"time.sys.self" "1" "16" "45" "LASSO" 1e-04
"time.elapsed" "1" "16" "45" "LASSO" 1e-04
"time.user.child" "1" "16" "45" "LASSO" 1e-04
"time.sys.child" "1" "16" "45" "LASSO" 1e-04
"cv.iters" "1" "16" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "16" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "16" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "16" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "16" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "16" "45" "LASSO" 1e-04
"n.cv.par" "1" "16" "45" "LASSO" 1e-04
"lambda" "7" "16" "45" "LASSO" 1e-04
"lambdar0" "7" "16" "45" "LASSO" 1e-04
"kappa" "7" "16" "45" "LASSO" 1e-04
"condnum" "7" "16" "45" "LASSO" 1e-04
"EL" "7" "16" "45" "LASSO" 1e-04
"RMSE" "7" "16" "45" "LASSO" 1e-04
"F1" "7" "16" "45" "LASSO" 1e-04
"eTPR" "7" "16" "45" "LASSO" 1e-04
"eTNR" "7" "16" "45" "LASSO" 1e-04
"ePPV" "7" "16" "45" "LASSO" 1e-04
"d" "7" "16" "45" "LASSO" 1e-04
"iters" "7" "16" "45" "LASSO" 1e-04
"time.user.self" "7" "16" "45" "LASSO" 1e-04
"time.sys.self" "7" "16" "45" "LASSO" 1e-04
"time.elapsed" "7" "16" "45" "LASSO" 1e-04
"time.user.child" "7" "16" "45" "LASSO" 1e-04
"time.sys.child" "7" "16" "45" "LASSO" 1e-04
"cv.iters" "7" "16" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "16" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "16" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "16" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "16" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "16" "45" "LASSO" 1e-04
"n.cv.par" "7" "16" "45" "LASSO" 1e-04
"lambda" "14" "16" "45" "LASSO" 1e-04
"lambdar0" "14" "16" "45" "LASSO" 1e-04
"kappa" "14" "16" "45" "LASSO" 1e-04
"condnum" "14" "16" "45" "LASSO" 1e-04
"EL" "14" "16" "45" "LASSO" 1e-04
"RMSE" "14" "16" "45" "LASSO" 1e-04
"F1" "14" "16" "45" "LASSO" 1e-04
"eTPR" "14" "16" "45" "LASSO" 1e-04
"eTNR" "14" "16" "45" "LASSO" 1e-04
"ePPV" "14" "16" "45" "LASSO" 1e-04
"d" "14" "16" "45" "LASSO" 1e-04
"iters" "14" "16" "45" "LASSO" 1e-04
"time.user.self" "14" "16" "45" "LASSO" 1e-04
"time.sys.self" "14" "16" "45" "LASSO" 1e-04
"time.elapsed" "14" "16" "45" "LASSO" 1e-04
"time.user.child" "14" "16" "45" "LASSO" 1e-04
"time.sys.child" "14" "16" "45" "LASSO" 1e-04
"cv.iters" "14" "16" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "16" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "16" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "16" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "16" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "16" "45" "LASSO" 1e-04
"n.cv.par" "14" "16" "45" "LASSO" 1e-04
"lambda" "1" "17" "45" "LASSO" 1e-04
"lambdar0" "1" "17" "45" "LASSO" 1e-04
"kappa" "1" "17" "45" "LASSO" 1e-04
"condnum" "1" "17" "45" "LASSO" 1e-04
"EL" "1" "17" "45" "LASSO" 1e-04
"RMSE" "1" "17" "45" "LASSO" 1e-04
"F1" "1" "17" "45" "LASSO" 1e-04
"eTPR" "1" "17" "45" "LASSO" 1e-04
"eTNR" "1" "17" "45" "LASSO" 1e-04
"ePPV" "1" "17" "45" "LASSO" 1e-04
"d" "1" "17" "45" "LASSO" 1e-04
"iters" "1" "17" "45" "LASSO" 1e-04
"time.user.self" "1" "17" "45" "LASSO" 1e-04
"time.sys.self" "1" "17" "45" "LASSO" 1e-04
"time.elapsed" "1" "17" "45" "LASSO" 1e-04
"time.user.child" "1" "17" "45" "LASSO" 1e-04
"time.sys.child" "1" "17" "45" "LASSO" 1e-04
"cv.iters" "1" "17" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "17" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "17" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "17" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "17" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "17" "45" "LASSO" 1e-04
"n.cv.par" "1" "17" "45" "LASSO" 1e-04
"lambda" "7" "17" "45" "LASSO" 1e-04
"lambdar0" "7" "17" "45" "LASSO" 1e-04
"kappa" "7" "17" "45" "LASSO" 1e-04
"condnum" "7" "17" "45" "LASSO" 1e-04
"EL" "7" "17" "45" "LASSO" 1e-04
"RMSE" "7" "17" "45" "LASSO" 1e-04
"F1" "7" "17" "45" "LASSO" 1e-04
"eTPR" "7" "17" "45" "LASSO" 1e-04
"eTNR" "7" "17" "45" "LASSO" 1e-04
"ePPV" "7" "17" "45" "LASSO" 1e-04
"d" "7" "17" "45" "LASSO" 1e-04
