"metric" "n_bands" "simulation" "n" "method" "value"
"lambda" "14" "1" "45" "LASSO" 1e-04
"lambdar0" "14" "1" "45" "LASSO" 1e-04
"kappa" "14" "1" "45" "LASSO" 1e-04
"condnum" "14" "1" "45" "LASSO" 1e-04
"EL" "14" "1" "45" "LASSO" 1e-04
"RMSE" "14" "1" "45" "LASSO" 1e-04
"F1" "14" "1" "45" "LASSO" 1e-04
"eTPR" "14" "1" "45" "LASSO" 1e-04
"eTNR" "14" "1" "45" "LASSO" 1e-04
"ePPV" "14" "1" "45" "LASSO" 1e-04
"d" "14" "1" "45" "LASSO" 1e-04
"iters" "14" "1" "45" "LASSO" 1e-04
"time.user.self" "14" "1" "45" "LASSO" 1e-04
"time.sys.self" "14" "1" "45" "LASSO" 1e-04
"time.elapsed" "14" "1" "45" "LASSO" 1e-04
"time.user.child" "14" "1" "45" "LASSO" 1e-04
"time.sys.child" "14" "1" "45" "LASSO" 1e-04
"cv.iters" "14" "1" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "1" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "1" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "1" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "1" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "1" "45" "LASSO" 1e-04
"n.cv.par" "14" "1" "45" "LASSO" 1e-04
"lambda" "14" "2" "45" "LASSO" 1e-04
"lambdar0" "14" "2" "45" "LASSO" 1e-04
"kappa" "14" "2" "45" "LASSO" 1e-04
"condnum" "14" "2" "45" "LASSO" 1e-04
"EL" "14" "2" "45" "LASSO" 1e-04
"RMSE" "14" "2" "45" "LASSO" 1e-04
"F1" "14" "2" "45" "LASSO" 1e-04
"eTPR" "14" "2" "45" "LASSO" 1e-04
"eTNR" "14" "2" "45" "LASSO" 1e-04
"ePPV" "14" "2" "45" "LASSO" 1e-04
"d" "14" "2" "45" "LASSO" 1e-04
"iters" "14" "2" "45" "LASSO" 1e-04
"time.user.self" "14" "2" "45" "LASSO" 1e-04
"time.sys.self" "14" "2" "45" "LASSO" 1e-04
"time.elapsed" "14" "2" "45" "LASSO" 1e-04
"time.user.child" "14" "2" "45" "LASSO" 1e-04
"time.sys.child" "14" "2" "45" "LASSO" 1e-04
"cv.iters" "14" "2" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "2" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "2" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "2" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "2" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "2" "45" "LASSO" 1e-04
"n.cv.par" "14" "2" "45" "LASSO" 1e-04
"lambda" "14" "3" "45" "LASSO" 1e-04
"lambdar0" "14" "3" "45" "LASSO" 1e-04
"kappa" "14" "3" "45" "LASSO" 1e-04
"condnum" "14" "3" "45" "LASSO" 1e-04
"EL" "14" "3" "45" "LASSO" 1e-04
"RMSE" "14" "3" "45" "LASSO" 1e-04
"F1" "14" "3" "45" "LASSO" 1e-04
"eTPR" "14" "3" "45" "LASSO" 1e-04
"eTNR" "14" "3" "45" "LASSO" 1e-04
"ePPV" "14" "3" "45" "LASSO" 1e-04
"d" "14" "3" "45" "LASSO" 1e-04
"iters" "14" "3" "45" "LASSO" 1e-04
"time.user.self" "14" "3" "45" "LASSO" 1e-04
"time.sys.self" "14" "3" "45" "LASSO" 1e-04
"time.elapsed" "14" "3" "45" "LASSO" 1e-04
"time.user.child" "14" "3" "45" "LASSO" 1e-04
"time.sys.child" "14" "3" "45" "LASSO" 1e-04
"cv.iters" "14" "3" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "3" "45" "LASSO" 1e-04
"cv.time.sys.self" "14" "3" "45" "LASSO" 1e-04
"cv.time.elapsed" "14" "3" "45" "LASSO" 1e-04
"cv.time.user.child" "14" "3" "45" "LASSO" 1e-04
"cv.time.sys.child" "14" "3" "45" "LASSO" 1e-04
"n.cv.par" "14" "3" "45" "LASSO" 1e-04
"lambda" "14" "4" "45" "LASSO" 1e-04
"lambdar0" "14" "4" "45" "LASSO" 1e-04
"kappa" "14" "4" "45" "LASSO" 1e-04
"condnum" "14" "4" "45" "LASSO" 1e-04
"EL" "14" "4" "45" "LASSO" 1e-04
"RMSE" "14" "4" "45" "LASSO" 1e-04
"F1" "14" "4" "45" "LASSO" 1e-04
"eTPR" "14" "4" "45" "LASSO" 1e-04
"eTNR" "14" "4" "45" "LASSO" 1e-04
"ePPV" "14" "4" "45" "LASSO" 1e-04
"d" "14" "4" "45" "LASSO" 1e-04
"iters" "14" "4" "45" "LASSO" 1e-04
