"metric" "n_bands" "simulation" "n" "method" "value"
"lambda" "1" "11" "45" "LASSO" 1e-04
"lambdar0" "1" "11" "45" "LASSO" 1e-04
"kappa" "1" "11" "45" "LASSO" 1e-04
"condnum" "1" "11" "45" "LASSO" 1e-04
"EL" "1" "11" "45" "LASSO" 1e-04
"RMSE" "1" "11" "45" "LASSO" 1e-04
"F1" "1" "11" "45" "LASSO" 1e-04
"eTPR" "1" "11" "45" "LASSO" 1e-04
"eTNR" "1" "11" "45" "LASSO" 1e-04
"ePPV" "1" "11" "45" "LASSO" 1e-04
"d" "1" "11" "45" "LASSO" 1e-04
"iters" "1" "11" "45" "LASSO" 1e-04
"time.user.self" "1" "11" "45" "LASSO" 1e-04
"time.sys.self" "1" "11" "45" "LASSO" 1e-04
"time.elapsed" "1" "11" "45" "LASSO" 1e-04
"time.user.child" "1" "11" "45" "LASSO" 1e-04
"time.sys.child" "1" "11" "45" "LASSO" 1e-04
"cv.iters" "1" "11" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "11" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "11" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "11" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "11" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "11" "45" "LASSO" 1e-04
"n.cv.par" "1" "11" "45" "LASSO" 1e-04
"lambda" "7" "11" "45" "LASSO" 1e-04
"lambdar0" "7" "11" "45" "LASSO" 1e-04
"kappa" "7" "11" "45" "LASSO" 1e-04
"condnum" "7" "11" "45" "LASSO" 1e-04
"EL" "7" "11" "45" "LASSO" 1e-04
"RMSE" "7" "11" "45" "LASSO" 1e-04
"F1" "7" "11" "45" "LASSO" 1e-04
"eTPR" "7" "11" "45" "LASSO" 1e-04
"eTNR" "7" "11" "45" "LASSO" 1e-04
"ePPV" "7" "11" "45" "LASSO" 1e-04
"d" "7" "11" "45" "LASSO" 1e-04
"iters" "7" "11" "45" "LASSO" 1e-04
"time.user.self" "7" "11" "45" "LASSO" 1e-04
"time.sys.self" "7" "11" "45" "LASSO" 1e-04
"time.elapsed" "7" "11" "45" "LASSO" 1e-04
"time.user.child" "7" "11" "45" "LASSO" 1e-04
"time.sys.child" "7" "11" "45" "LASSO" 1e-04
"cv.iters" "7" "11" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "11" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "11" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "11" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "11" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "11" "45" "LASSO" 1e-04
"n.cv.par" "7" "11" "45" "LASSO" 1e-04
"lambda" "1" "12" "45" "LASSO" 1e-04
"lambdar0" "1" "12" "45" "LASSO" 1e-04
"kappa" "1" "12" "45" "LASSO" 1e-04
"condnum" "1" "12" "45" "LASSO" 1e-04
"EL" "1" "12" "45" "LASSO" 1e-04
"RMSE" "1" "12" "45" "LASSO" 1e-04
"F1" "1" "12" "45" "LASSO" 1e-04
"eTPR" "1" "12" "45" "LASSO" 1e-04
"eTNR" "1" "12" "45" "LASSO" 1e-04
"ePPV" "1" "12" "45" "LASSO" 1e-04
"d" "1" "12" "45" "LASSO" 1e-04
"iters" "1" "12" "45" "LASSO" 1e-04
"time.user.self" "1" "12" "45" "LASSO" 1e-04
"time.sys.self" "1" "12" "45" "LASSO" 1e-04
"time.elapsed" "1" "12" "45" "LASSO" 1e-04
"time.user.child" "1" "12" "45" "LASSO" 1e-04
"time.sys.child" "1" "12" "45" "LASSO" 1e-04
"cv.iters" "1" "12" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "12" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "12" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "12" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "12" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "12" "45" "LASSO" 1e-04
"n.cv.par" "1" "12" "45" "LASSO" 1e-04
"lambda" "7" "12" "45" "LASSO" 1e-04
"lambdar0" "7" "12" "45" "LASSO" 1e-04
"kappa" "7" "12" "45" "LASSO" 1e-04
"condnum" "7" "12" "45" "LASSO" 1e-04
"EL" "7" "12" "45" "LASSO" 1e-04
"RMSE" "7" "12" "45" "LASSO" 1e-04
"F1" "7" "12" "45" "LASSO" 1e-04
"eTPR" "7" "12" "45" "LASSO" 1e-04
"eTNR" "7" "12" "45" "LASSO" 1e-04
"ePPV" "7" "12" "45" "LASSO" 1e-04
"d" "7" "12" "45" "LASSO" 1e-04
"iters" "7" "12" "45" "LASSO" 1e-04
"time.user.self" "7" "12" "45" "LASSO" 1e-04
"time.sys.self" "7" "12" "45" "LASSO" 1e-04
"time.elapsed" "7" "12" "45" "LASSO" 1e-04
"time.user.child" "7" "12" "45" "LASSO" 1e-04
"time.sys.child" "7" "12" "45" "LASSO" 1e-04
"cv.iters" "7" "12" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "12" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "12" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "12" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "12" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "12" "45" "LASSO" 1e-04
"n.cv.par" "7" "12" "45" "LASSO" 1e-04
"lambda" "1" "13" "45" "LASSO" 1e-04
"lambdar0" "1" "13" "45" "LASSO" 1e-04
"kappa" "1" "13" "45" "LASSO" 1e-04
"condnum" "1" "13" "45" "LASSO" 1e-04
"EL" "1" "13" "45" "LASSO" 1e-04
"RMSE" "1" "13" "45" "LASSO" 1e-04
"F1" "1" "13" "45" "LASSO" 1e-04
"eTPR" "1" "13" "45" "LASSO" 1e-04
"eTNR" "1" "13" "45" "LASSO" 1e-04
"ePPV" "1" "13" "45" "LASSO" 1e-04
"d" "1" "13" "45" "LASSO" 1e-04
"iters" "1" "13" "45" "LASSO" 1e-04
"time.user.self" "1" "13" "45" "LASSO" 1e-04
"time.sys.self" "1" "13" "45" "LASSO" 1e-04
"time.elapsed" "1" "13" "45" "LASSO" 1e-04
"time.user.child" "1" "13" "45" "LASSO" 1e-04
"time.sys.child" "1" "13" "45" "LASSO" 1e-04
"cv.iters" "1" "13" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "13" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "13" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "13" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "13" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "13" "45" "LASSO" 1e-04
"n.cv.par" "1" "13" "45" "LASSO" 1e-04
"lambda" "7" "13" "45" "LASSO" 1e-04
"lambdar0" "7" "13" "45" "LASSO" 1e-04
"kappa" "7" "13" "45" "LASSO" 1e-04
"condnum" "7" "13" "45" "LASSO" 1e-04
"EL" "7" "13" "45" "LASSO" 1e-04
"RMSE" "7" "13" "45" "LASSO" 1e-04
"F1" "7" "13" "45" "LASSO" 1e-04
"eTPR" "7" "13" "45" "LASSO" 1e-04
"eTNR" "7" "13" "45" "LASSO" 1e-04
"ePPV" "7" "13" "45" "LASSO" 1e-04
"d" "7" "13" "45" "LASSO" 1e-04
"iters" "7" "13" "45" "LASSO" 1e-04
"time.user.self" "7" "13" "45" "LASSO" 1e-04
"time.sys.self" "7" "13" "45" "LASSO" 1e-04
"time.elapsed" "7" "13" "45" "LASSO" 1e-04
"time.user.child" "7" "13" "45" "LASSO" 1e-04
"time.sys.child" "7" "13" "45" "LASSO" 1e-04
"cv.iters" "7" "13" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "13" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "13" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "13" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "13" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "13" "45" "LASSO" 1e-04
"n.cv.par" "7" "13" "45" "LASSO" 1e-04
"lambda" "1" "14" "45" "LASSO" 1e-04
"lambdar0" "1" "14" "45" "LASSO" 1e-04
"kappa" "1" "14" "45" "LASSO" 1e-04
"condnum" "1" "14" "45" "LASSO" 1e-04
"EL" "1" "14" "45" "LASSO" 1e-04
"RMSE" "1" "14" "45" "LASSO" 1e-04
"F1" "1" "14" "45" "LASSO" 1e-04
"eTPR" "1" "14" "45" "LASSO" 1e-04
"eTNR" "1" "14" "45" "LASSO" 1e-04
"ePPV" "1" "14" "45" "LASSO" 1e-04
"d" "1" "14" "45" "LASSO" 1e-04
"iters" "1" "14" "45" "LASSO" 1e-04
"time.user.self" "1" "14" "45" "LASSO" 1e-04
"time.sys.self" "1" "14" "45" "LASSO" 1e-04
"time.elapsed" "1" "14" "45" "LASSO" 1e-04
"time.user.child" "1" "14" "45" "LASSO" 1e-04
"time.sys.child" "1" "14" "45" "LASSO" 1e-04
"cv.iters" "1" "14" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "14" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "14" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "14" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "14" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "14" "45" "LASSO" 1e-04
"n.cv.par" "1" "14" "45" "LASSO" 1e-04
"lambda" "7" "14" "45" "LASSO" 1e-04
"lambdar0" "7" "14" "45" "LASSO" 1e-04
"kappa" "7" "14" "45" "LASSO" 1e-04
"condnum" "7" "14" "45" "LASSO" 1e-04
"EL" "7" "14" "45" "LASSO" 1e-04
"RMSE" "7" "14" "45" "LASSO" 1e-04
"F1" "7" "14" "45" "LASSO" 1e-04
"eTPR" "7" "14" "45" "LASSO" 1e-04
"eTNR" "7" "14" "45" "LASSO" 1e-04
"ePPV" "7" "14" "45" "LASSO" 1e-04
"d" "7" "14" "45" "LASSO" 1e-04
"iters" "7" "14" "45" "LASSO" 1e-04
"time.user.self" "7" "14" "45" "LASSO" 1e-04
"time.sys.self" "7" "14" "45" "LASSO" 1e-04
"time.elapsed" "7" "14" "45" "LASSO" 1e-04
"time.user.child" "7" "14" "45" "LASSO" 1e-04
"time.sys.child" "7" "14" "45" "LASSO" 1e-04
"cv.iters" "7" "14" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "14" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "14" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "14" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "14" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "14" "45" "LASSO" 1e-04
"n.cv.par" "7" "14" "45" "LASSO" 1e-04
"lambda" "1" "15" "45" "LASSO" 1e-04
"lambdar0" "1" "15" "45" "LASSO" 1e-04
"kappa" "1" "15" "45" "LASSO" 1e-04
"condnum" "1" "15" "45" "LASSO" 1e-04
"EL" "1" "15" "45" "LASSO" 1e-04
"RMSE" "1" "15" "45" "LASSO" 1e-04
"F1" "1" "15" "45" "LASSO" 1e-04
"eTPR" "1" "15" "45" "LASSO" 1e-04
"eTNR" "1" "15" "45" "LASSO" 1e-04
"ePPV" "1" "15" "45" "LASSO" 1e-04
"d" "1" "15" "45" "LASSO" 1e-04
"iters" "1" "15" "45" "LASSO" 1e-04
"time.user.self" "1" "15" "45" "LASSO" 1e-04
"time.sys.self" "1" "15" "45" "LASSO" 1e-04
"time.elapsed" "1" "15" "45" "LASSO" 1e-04
"time.user.child" "1" "15" "45" "LASSO" 1e-04
"time.sys.child" "1" "15" "45" "LASSO" 1e-04
"cv.iters" "1" "15" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "15" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "15" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "15" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "15" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "15" "45" "LASSO" 1e-04
"n.cv.par" "1" "15" "45" "LASSO" 1e-04
"lambda" "7" "15" "45" "LASSO" 1e-04
"lambdar0" "7" "15" "45" "LASSO" 1e-04
"kappa" "7" "15" "45" "LASSO" 1e-04
"condnum" "7" "15" "45" "LASSO" 1e-04
"EL" "7" "15" "45" "LASSO" 1e-04
"RMSE" "7" "15" "45" "LASSO" 1e-04
"F1" "7" "15" "45" "LASSO" 1e-04
"eTPR" "7" "15" "45" "LASSO" 1e-04
"eTNR" "7" "15" "45" "LASSO" 1e-04
"ePPV" "7" "15" "45" "LASSO" 1e-04
"d" "7" "15" "45" "LASSO" 1e-04
"iters" "7" "15" "45" "LASSO" 1e-04
"time.user.self" "7" "15" "45" "LASSO" 1e-04
"time.sys.self" "7" "15" "45" "LASSO" 1e-04
"time.elapsed" "7" "15" "45" "LASSO" 1e-04
"time.user.child" "7" "15" "45" "LASSO" 1e-04
"time.sys.child" "7" "15" "45" "LASSO" 1e-04
"cv.iters" "7" "15" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "15" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "15" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "15" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "15" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "15" "45" "LASSO" 1e-04
"n.cv.par" "7" "15" "45" "LASSO" 1e-04
"lambda" "1" "16" "45" "LASSO" 1e-04
"lambdar0" "1" "16" "45" "LASSO" 1e-04
"kappa" "1" "16" "45" "LASSO" 1e-04
"condnum" "1" "16" "45" "LASSO" 1e-04
"EL" "1" "16" "45" "LASSO" 1e-04
"RMSE" "1" "16" "45" "LASSO" 1e-04
"F1" "1" "16" "45" "LASSO" 1e-04
"eTPR" "1" "16" "45" "LASSO" 1e-04
"eTNR" "1" "16" "45" "LASSO" 1e-04
"ePPV" "1" "16" "45" "LASSO" 1e-04
"d" "1" "16" "45" "LASSO" 1e-04
"iters" "1" "16" "45" "LASSO" 1e-04
"time.user.self" "1" "16" "45" "LASSO" 1e-04
"time.sys.self" "1" "16" "45" "LASSO" 1e-04
"time.elapsed" "1" "16" "45" "LASSO" 1e-04
"time.user.child" "1" "16" "45" "LASSO" 1e-04
"time.sys.child" "1" "16" "45" "LASSO" 1e-04
"cv.iters" "1" "16" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "16" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "16" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "16" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "16" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "16" "45" "LASSO" 1e-04
"n.cv.par" "1" "16" "45" "LASSO" 1e-04
"lambda" "7" "16" "45" "LASSO" 1e-04
"lambdar0" "7" "16" "45" "LASSO" 1e-04
"kappa" "7" "16" "45" "LASSO" 1e-04
"condnum" "7" "16" "45" "LASSO" 1e-04
"EL" "7" "16" "45" "LASSO" 1e-04
"RMSE" "7" "16" "45" "LASSO" 1e-04
"F1" "7" "16" "45" "LASSO" 1e-04
"eTPR" "7" "16" "45" "LASSO" 1e-04
"eTNR" "7" "16" "45" "LASSO" 1e-04
"ePPV" "7" "16" "45" "LASSO" 1e-04
"d" "7" "16" "45" "LASSO" 1e-04
"iters" "7" "16" "45" "LASSO" 1e-04
"time.user.self" "7" "16" "45" "LASSO" 1e-04
"time.sys.self" "7" "16" "45" "LASSO" 1e-04
"time.elapsed" "7" "16" "45" "LASSO" 1e-04
"time.user.child" "7" "16" "45" "LASSO" 1e-04
"time.sys.child" "7" "16" "45" "LASSO" 1e-04
"cv.iters" "7" "16" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "16" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "16" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "16" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "16" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "16" "45" "LASSO" 1e-04
"n.cv.par" "7" "16" "45" "LASSO" 1e-04
"lambda" "1" "17" "45" "LASSO" 1e-04
"lambdar0" "1" "17" "45" "LASSO" 1e-04
"kappa" "1" "17" "45" "LASSO" 1e-04
"condnum" "1" "17" "45" "LASSO" 1e-04
"EL" "1" "17" "45" "LASSO" 1e-04
"RMSE" "1" "17" "45" "LASSO" 1e-04
"F1" "1" "17" "45" "LASSO" 1e-04
"eTPR" "1" "17" "45" "LASSO" 1e-04
"eTNR" "1" "17" "45" "LASSO" 1e-04
"ePPV" "1" "17" "45" "LASSO" 1e-04
"d" "1" "17" "45" "LASSO" 1e-04
"iters" "1" "17" "45" "LASSO" 1e-04
"time.user.self" "1" "17" "45" "LASSO" 1e-04
"time.sys.self" "1" "17" "45" "LASSO" 1e-04
"time.elapsed" "1" "17" "45" "LASSO" 1e-04
"time.user.child" "1" "17" "45" "LASSO" 1e-04
"time.sys.child" "1" "17" "45" "LASSO" 1e-04
"cv.iters" "1" "17" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "17" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "17" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "17" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "17" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "17" "45" "LASSO" 1e-04
"n.cv.par" "1" "17" "45" "LASSO" 1e-04
"lambda" "7" "17" "45" "LASSO" 1e-04
"lambdar0" "7" "17" "45" "LASSO" 1e-04
"kappa" "7" "17" "45" "LASSO" 1e-04
"condnum" "7" "17" "45" "LASSO" 1e-04
"EL" "7" "17" "45" "LASSO" 1e-04
"RMSE" "7" "17" "45" "LASSO" 1e-04
"F1" "7" "17" "45" "LASSO" 1e-04
"eTPR" "7" "17" "45" "LASSO" 1e-04
"eTNR" "7" "17" "45" "LASSO" 1e-04
"ePPV" "7" "17" "45" "LASSO" 1e-04
"d" "7" "17" "45" "LASSO" 1e-04
"iters" "7" "17" "45" "LASSO" 1e-04
"time.user.self" "7" "17" "45" "LASSO" 1e-04
"time.sys.self" "7" "17" "45" "LASSO" 1e-04
"time.elapsed" "7" "17" "45" "LASSO" 1e-04
"time.user.child" "7" "17" "45" "LASSO" 1e-04
"time.sys.child" "7" "17" "45" "LASSO" 1e-04
"cv.iters" "7" "17" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "17" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "17" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "17" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "17" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "17" "45" "LASSO" 1e-04
"n.cv.par" "7" "17" "45" "LASSO" 1e-04
"lambda" "1" "18" "45" "LASSO" 1e-04
"lambdar0" "1" "18" "45" "LASSO" 1e-04
"kappa" "1" "18" "45" "LASSO" 1e-04
"condnum" "1" "18" "45" "LASSO" 1e-04
"EL" "1" "18" "45" "LASSO" 1e-04
"RMSE" "1" "18" "45" "LASSO" 1e-04
"F1" "1" "18" "45" "LASSO" 1e-04
"eTPR" "1" "18" "45" "LASSO" 1e-04
"eTNR" "1" "18" "45" "LASSO" 1e-04
"ePPV" "1" "18" "45" "LASSO" 1e-04
"d" "1" "18" "45" "LASSO" 1e-04
"iters" "1" "18" "45" "LASSO" 1e-04
"time.user.self" "1" "18" "45" "LASSO" 1e-04
"time.sys.self" "1" "18" "45" "LASSO" 1e-04
"time.elapsed" "1" "18" "45" "LASSO" 1e-04
"time.user.child" "1" "18" "45" "LASSO" 1e-04
"time.sys.child" "1" "18" "45" "LASSO" 1e-04
"cv.iters" "1" "18" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "18" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "18" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "18" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "18" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "18" "45" "LASSO" 1e-04
"n.cv.par" "1" "18" "45" "LASSO" 1e-04
"lambda" "7" "18" "45" "LASSO" 1e-04
"lambdar0" "7" "18" "45" "LASSO" 1e-04
"kappa" "7" "18" "45" "LASSO" 1e-04
"condnum" "7" "18" "45" "LASSO" 1e-04
"EL" "7" "18" "45" "LASSO" 1e-04
"RMSE" "7" "18" "45" "LASSO" 1e-04
"F1" "7" "18" "45" "LASSO" 1e-04
"eTPR" "7" "18" "45" "LASSO" 1e-04
"eTNR" "7" "18" "45" "LASSO" 1e-04
"ePPV" "7" "18" "45" "LASSO" 1e-04
"d" "7" "18" "45" "LASSO" 1e-04
"iters" "7" "18" "45" "LASSO" 1e-04
"time.user.self" "7" "18" "45" "LASSO" 1e-04
"time.sys.self" "7" "18" "45" "LASSO" 1e-04
"time.elapsed" "7" "18" "45" "LASSO" 1e-04
"time.user.child" "7" "18" "45" "LASSO" 1e-04
"time.sys.child" "7" "18" "45" "LASSO" 1e-04
"cv.iters" "7" "18" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "18" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "18" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "18" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "18" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "18" "45" "LASSO" 1e-04
"n.cv.par" "7" "18" "45" "LASSO" 1e-04
"lambda" "1" "19" "45" "LASSO" 1e-04
"lambdar0" "1" "19" "45" "LASSO" 1e-04
"kappa" "1" "19" "45" "LASSO" 1e-04
"condnum" "1" "19" "45" "LASSO" 1e-04
"EL" "1" "19" "45" "LASSO" 1e-04
"RMSE" "1" "19" "45" "LASSO" 1e-04
"F1" "1" "19" "45" "LASSO" 1e-04
"eTPR" "1" "19" "45" "LASSO" 1e-04
"eTNR" "1" "19" "45" "LASSO" 1e-04
"ePPV" "1" "19" "45" "LASSO" 1e-04
"d" "1" "19" "45" "LASSO" 1e-04
"iters" "1" "19" "45" "LASSO" 1e-04
"time.user.self" "1" "19" "45" "LASSO" 1e-04
"time.sys.self" "1" "19" "45" "LASSO" 1e-04
"time.elapsed" "1" "19" "45" "LASSO" 1e-04
"time.user.child" "1" "19" "45" "LASSO" 1e-04
"time.sys.child" "1" "19" "45" "LASSO" 1e-04
"cv.iters" "1" "19" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "19" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "19" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "19" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "19" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "19" "45" "LASSO" 1e-04
"n.cv.par" "1" "19" "45" "LASSO" 1e-04
"lambda" "7" "19" "45" "LASSO" 1e-04
"lambdar0" "7" "19" "45" "LASSO" 1e-04
"kappa" "7" "19" "45" "LASSO" 1e-04
"condnum" "7" "19" "45" "LASSO" 1e-04
"EL" "7" "19" "45" "LASSO" 1e-04
"RMSE" "7" "19" "45" "LASSO" 1e-04
"F1" "7" "19" "45" "LASSO" 1e-04
"eTPR" "7" "19" "45" "LASSO" 1e-04
"eTNR" "7" "19" "45" "LASSO" 1e-04
"ePPV" "7" "19" "45" "LASSO" 1e-04
"d" "7" "19" "45" "LASSO" 1e-04
"iters" "7" "19" "45" "LASSO" 1e-04
"time.user.self" "7" "19" "45" "LASSO" 1e-04
"time.sys.self" "7" "19" "45" "LASSO" 1e-04
"time.elapsed" "7" "19" "45" "LASSO" 1e-04
"time.user.child" "7" "19" "45" "LASSO" 1e-04
"time.sys.child" "7" "19" "45" "LASSO" 1e-04
"cv.iters" "7" "19" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "19" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "19" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "19" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "19" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "19" "45" "LASSO" 1e-04
"n.cv.par" "7" "19" "45" "LASSO" 1e-04
"lambda" "1" "20" "45" "LASSO" 1e-04
"lambdar0" "1" "20" "45" "LASSO" 1e-04
"kappa" "1" "20" "45" "LASSO" 1e-04
"condnum" "1" "20" "45" "LASSO" 1e-04
"EL" "1" "20" "45" "LASSO" 1e-04
"RMSE" "1" "20" "45" "LASSO" 1e-04
"F1" "1" "20" "45" "LASSO" 1e-04
"eTPR" "1" "20" "45" "LASSO" 1e-04
"eTNR" "1" "20" "45" "LASSO" 1e-04
"ePPV" "1" "20" "45" "LASSO" 1e-04
"d" "1" "20" "45" "LASSO" 1e-04
"iters" "1" "20" "45" "LASSO" 1e-04
"time.user.self" "1" "20" "45" "LASSO" 1e-04
"time.sys.self" "1" "20" "45" "LASSO" 1e-04
"time.elapsed" "1" "20" "45" "LASSO" 1e-04
"time.user.child" "1" "20" "45" "LASSO" 1e-04
"time.sys.child" "1" "20" "45" "LASSO" 1e-04
"cv.iters" "1" "20" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "20" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "20" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "20" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "20" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "20" "45" "LASSO" 1e-04
"n.cv.par" "1" "20" "45" "LASSO" 1e-04
"lambda" "7" "20" "45" "LASSO" 1e-04
"lambdar0" "7" "20" "45" "LASSO" 1e-04
"kappa" "7" "20" "45" "LASSO" 1e-04
"condnum" "7" "20" "45" "LASSO" 1e-04
"EL" "7" "20" "45" "LASSO" 1e-04
"RMSE" "7" "20" "45" "LASSO" 1e-04
"F1" "7" "20" "45" "LASSO" 1e-04
"eTPR" "7" "20" "45" "LASSO" 1e-04
"eTNR" "7" "20" "45" "LASSO" 1e-04
"ePPV" "7" "20" "45" "LASSO" 1e-04
"d" "7" "20" "45" "LASSO" 1e-04
