"metric" "n_bands" "simulation" "p" "method" "value"
"lambda" "10" "1" "25" "LASSO" 0
"lambdar0" "10" "1" "25" "LASSO" 0
"kappa" "10" "1" "25" "LASSO" 0
"condnum" "10" "1" "25" "LASSO" 24.8656834547447
"EL" "10" "1" "25" "LASSO" 0.11164694859789
"RMSE" "10" "1" "25" "LASSO" 0.00534438361863882
"F1" "10" "1" "25" "LASSO" 1
"eTPR" "10" "1" "25" "LASSO" 1
"eTNR" "10" "1" "25" "LASSO" 1
"ePPV" "10" "1" "25" "LASSO" 1
"d" "10" "1" "25" "LASSO" 0.65
"iters" "10" "1" "25" "LASSO" 13
"time.user.self" "10" "1" "25" "LASSO" 0.00999999999999091
"time.sys.self" "10" "1" "25" "LASSO" 0
"time.elapsed" "10" "1" "25" "LASSO" 0.0100000000000477
"time.user.child" "10" "1" "25" "LASSO" NA
"time.sys.child" "10" "1" "25" "LASSO" NA
"cv.iters" "10" "1" "25" "LASSO" NA
"cv.time.user.self" "10" "1" "25" "LASSO" 0.00369999999999976
"cv.time.sys.self" "10" "1" "25" "LASSO" 0
"cv.time.elapsed" "10" "1" "25" "LASSO" 0.00469999999999914
"cv.time.user.child" "10" "1" "25" "LASSO" NA
"cv.time.sys.child" "10" "1" "25" "LASSO" NA
"cv.all.time.user.self" "10" "1" "25" "LASSO" 0.369999999999976
"cv.all.time.sys.self" "10" "1" "25" "LASSO" 0
"cv.all.time.elapsed" "10" "1" "25" "LASSO" 0.469999999999914
"cv.all.time.user.child" "10" "1" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "1" "25" "LASSO" NA
"n.cv.par" "10" "1" "25" "LASSO" 20
"lambda" "10" "2" "25" "LASSO" 0
"lambdar0" "10" "2" "25" "LASSO" 0
"kappa" "10" "2" "25" "LASSO" 0
"condnum" "10" "2" "25" "LASSO" 24.6994415479152
"EL" "10" "2" "25" "LASSO" 0.113578241011862
"RMSE" "10" "2" "25" "LASSO" 0.00555197354268808
"F1" "10" "2" "25" "LASSO" 1
"eTPR" "10" "2" "25" "LASSO" 1
"eTNR" "10" "2" "25" "LASSO" 1
"ePPV" "10" "2" "25" "LASSO" 1
"d" "10" "2" "25" "LASSO" 0.65
"iters" "10" "2" "25" "LASSO" 14
"time.user.self" "10" "2" "25" "LASSO" 0
"time.sys.self" "10" "2" "25" "LASSO" 0
"time.elapsed" "10" "2" "25" "LASSO" 0.0199999999999818
"time.user.child" "10" "2" "25" "LASSO" NA
"time.sys.child" "10" "2" "25" "LASSO" NA
"cv.iters" "10" "2" "25" "LASSO" NA
"cv.time.user.self" "10" "2" "25" "LASSO" 0.003599999999999
"cv.time.sys.self" "10" "2" "25" "LASSO" 0
"cv.time.elapsed" "10" "2" "25" "LASSO" 0.00339999999999975
"cv.time.user.child" "10" "2" "25" "LASSO" NA
"cv.time.sys.child" "10" "2" "25" "LASSO" NA
"cv.all.time.user.self" "10" "2" "25" "LASSO" 0.3599999999999
"cv.all.time.sys.self" "10" "2" "25" "LASSO" 0
"cv.all.time.elapsed" "10" "2" "25" "LASSO" 0.339999999999975
"cv.all.time.user.child" "10" "2" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "2" "25" "LASSO" NA
"n.cv.par" "10" "2" "25" "LASSO" 20
"lambda" "10" "3" "25" "LASSO" 0
"lambdar0" "10" "3" "25" "LASSO" 0
"kappa" "10" "3" "25" "LASSO" 0
"condnum" "10" "3" "25" "LASSO" 27.029655946574
"EL" "10" "3" "25" "LASSO" 0.101413441696433
"RMSE" "10" "3" "25" "LASSO" 0.00529609063155358
"F1" "10" "3" "25" "LASSO" 1
"eTPR" "10" "3" "25" "LASSO" 1
"eTNR" "10" "3" "25" "LASSO" 1
"ePPV" "10" "3" "25" "LASSO" 1
"d" "10" "3" "25" "LASSO" 0.65
"iters" "10" "3" "25" "LASSO" 15
"time.user.self" "10" "3" "25" "LASSO" 0.0299999999999727
"time.sys.self" "10" "3" "25" "LASSO" 0
"time.elapsed" "10" "3" "25" "LASSO" 0.0499999999999545
"time.user.child" "10" "3" "25" "LASSO" NA
"time.sys.child" "10" "3" "25" "LASSO" NA
"cv.iters" "10" "3" "25" "LASSO" NA
"cv.time.user.self" "10" "3" "25" "LASSO" 0.00570000000000618
"cv.time.sys.self" "10" "3" "25" "LASSO" 0
"cv.time.elapsed" "10" "3" "25" "LASSO" 0.00679999999999723
"cv.time.user.child" "10" "3" "25" "LASSO" NA
"cv.time.sys.child" "10" "3" "25" "LASSO" NA
"cv.all.time.user.self" "10" "3" "25" "LASSO" 0.570000000000618
"cv.all.time.sys.self" "10" "3" "25" "LASSO" 0
"cv.all.time.elapsed" "10" "3" "25" "LASSO" 0.679999999999723
"cv.all.time.user.child" "10" "3" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "3" "25" "LASSO" NA
"n.cv.par" "10" "3" "25" "LASSO" 20
"lambda" "10" "4" "25" "LASSO" 0
"lambdar0" "10" "4" "25" "LASSO" 0
"kappa" "10" "4" "25" "LASSO" 0
"condnum" "10" "4" "25" "LASSO" 24.2473473846132
"EL" "10" "4" "25" "LASSO" 0.107943809125423
"RMSE" "10" "4" "25" "LASSO" 0.00540894339554317
"F1" "10" "4" "25" "LASSO" 1
"eTPR" "10" "4" "25" "LASSO" 1
"eTNR" "10" "4" "25" "LASSO" 1
"ePPV" "10" "4" "25" "LASSO" 1
"d" "10" "4" "25" "LASSO" 0.65
"iters" "10" "4" "25" "LASSO" 13
"time.user.self" "10" "4" "25" "LASSO" 0.0199999999999818
"time.sys.self" "10" "4" "25" "LASSO" 0
"time.elapsed" "10" "4" "25" "LASSO" 0.0199999999999818
"time.user.child" "10" "4" "25" "LASSO" NA
"time.sys.child" "10" "4" "25" "LASSO" NA
"cv.iters" "10" "4" "25" "LASSO" NA
"cv.time.user.self" "10" "4" "25" "LASSO" 0.00370000000000346
"cv.time.sys.self" "10" "4" "25" "LASSO" 0
"cv.time.elapsed" "10" "4" "25" "LASSO" 0.00410000000000082
"cv.time.user.child" "10" "4" "25" "LASSO" NA
"cv.time.sys.child" "10" "4" "25" "LASSO" NA
"cv.all.time.user.self" "10" "4" "25" "LASSO" 0.370000000000346
"cv.all.time.sys.self" "10" "4" "25" "LASSO" 0
"cv.all.time.elapsed" "10" "4" "25" "LASSO" 0.410000000000082
"cv.all.time.user.child" "10" "4" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "4" "25" "LASSO" NA
"n.cv.par" "10" "4" "25" "LASSO" 20
"lambda" "10" "5" "25" "LASSO" 0
"lambdar0" "10" "5" "25" "LASSO" 0
"kappa" "10" "5" "25" "LASSO" 0
"condnum" "10" "5" "25" "LASSO" 25.3720328042443
"EL" "10" "5" "25" "LASSO" 0.109271672180984
"RMSE" "10" "5" "25" "LASSO" 0.0054832086157314
"F1" "10" "5" "25" "LASSO" 1
"eTPR" "10" "5" "25" "LASSO" 1
"eTNR" "10" "5" "25" "LASSO" 1
"ePPV" "10" "5" "25" "LASSO" 1
"d" "10" "5" "25" "LASSO" 0.65
"iters" "10" "5" "25" "LASSO" 14
"time.user.self" "10" "5" "25" "LASSO" 0.00999999999999091
"time.sys.self" "10" "5" "25" "LASSO" 0
"time.elapsed" "10" "5" "25" "LASSO" 0.00999999999999091
"time.user.child" "10" "5" "25" "LASSO" NA
"time.sys.child" "10" "5" "25" "LASSO" NA
"cv.iters" "10" "5" "25" "LASSO" NA
"cv.time.user.self" "10" "5" "25" "LASSO" 0.00390000000000327
"cv.time.sys.self" "10" "5" "25" "LASSO" 0
"cv.time.elapsed" "10" "5" "25" "LASSO" 0.00489999999999782
"cv.time.user.child" "10" "5" "25" "LASSO" NA
"cv.time.sys.child" "10" "5" "25" "LASSO" NA
"cv.all.time.user.self" "10" "5" "25" "LASSO" 0.390000000000327
"cv.all.time.sys.self" "10" "5" "25" "LASSO" 0
"cv.all.time.elapsed" "10" "5" "25" "LASSO" 0.489999999999782
"cv.all.time.user.child" "10" "5" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "5" "25" "LASSO" NA
"n.cv.par" "10" "5" "25" "LASSO" 20
"lambda" "10" "6" "25" "LASSO" 0
