"metric" "n_bands" "simulation" "p" "method" "value"
"lambda" "3" "1" "25" "LASSO" 0.00493389320306052
"lambdar0" "3" "1" "25" "LASSO" 0.1
"kappa" "3" "1" "25" "LASSO" 0
"condnum" "3" "1" "25" "LASSO" 21.360095788016
"EL" "3" "1" "25" "LASSO" 0.079902749477359
"RMSE" "3" "1" "25" "LASSO" 0.00350739172837619
"F1" "3" "1" "25" "LASSO" 1
"eTPR" "3" "1" "25" "LASSO" 1
"eTNR" "3" "1" "25" "LASSO" 1
"ePPV" "3" "1" "25" "LASSO" 1
"d" "3" "1" "25" "LASSO" 0.23
"iters" "3" "1" "25" "LASSO" 10
"time.user.self" "3" "1" "25" "LASSO" 0
"time.sys.self" "3" "1" "25" "LASSO" 0
"time.elapsed" "3" "1" "25" "LASSO" 0
"time.user.child" "3" "1" "25" "LASSO" NA
"time.sys.child" "3" "1" "25" "LASSO" NA
"cv.iters" "3" "1" "25" "LASSO" NA
"cv.time.user.self" "3" "1" "25" "LASSO" 0.00229999999999961
"cv.time.sys.self" "3" "1" "25" "LASSO" 0
"cv.time.elapsed" "3" "1" "25" "LASSO" 0.0013999999999993
"cv.time.user.child" "3" "1" "25" "LASSO" NA
"cv.time.sys.child" "3" "1" "25" "LASSO" NA
"cv.all.time.user.self" "3" "1" "25" "LASSO" 0.229999999999961
"cv.all.time.sys.self" "3" "1" "25" "LASSO" 0
"cv.all.time.elapsed" "3" "1" "25" "LASSO" 0.13999999999993
"cv.all.time.user.child" "3" "1" "25" "LASSO" NA
"cv.all.time.sys.child" "3" "1" "25" "LASSO" NA
"n.cv.par" "3" "1" "25" "LASSO" 20
"lambda" "10" "1" "25" "LASSO" 1e-04
"lambdar0" "10" "1" "25" "LASSO" 1e-04
"kappa" "10" "1" "25" "LASSO" 1e-04
"condnum" "10" "1" "25" "LASSO" 1e-04
"EL" "10" "1" "25" "LASSO" 1e-04
"RMSE" "10" "1" "25" "LASSO" 1e-04
"F1" "10" "1" "25" "LASSO" 1e-04
"eTPR" "10" "1" "25" "LASSO" 1e-04
"eTNR" "10" "1" "25" "LASSO" 1e-04
"ePPV" "10" "1" "25" "LASSO" 1e-04
"d" "10" "1" "25" "LASSO" 1e-04
"iters" "10" "1" "25" "LASSO" 1e-04
"time.user.self" "10" "1" "25" "LASSO" 1e-04
"time.sys.self" "10" "1" "25" "LASSO" 1e-04
"time.elapsed" "10" "1" "25" "LASSO" 1e-04
"time.user.child" "10" "1" "25" "LASSO" 1e-04
"time.sys.child" "10" "1" "25" "LASSO" 1e-04
"cv.iters" "10" "1" "25" "LASSO" 1e-04
"cv.time.user.self" "10" "1" "25" "LASSO" 1e-04
"cv.time.sys.self" "10" "1" "25" "LASSO" 1e-04
"cv.time.elapsed" "10" "1" "25" "LASSO" 1e-04
"cv.time.user.child" "10" "1" "25" "LASSO" 1e-04
"cv.time.sys.child" "10" "1" "25" "LASSO" 1e-04
"cv.all.time.user.self" "10" "1" "25" "LASSO" 1e-04
"cv.all.time.sys.self" "10" "1" "25" "LASSO" 1e-04
"cv.all.time.elapsed" "10" "1" "25" "LASSO" 1e-04
"cv.all.time.user.child" "10" "1" "25" "LASSO" 1e-04
"cv.all.time.sys.child" "10" "1" "25" "LASSO" 1e-04
"n.cv.par" "10" "1" "25" "LASSO" 1e-04
"lambda" "3" "2" "25" "LASSO" 0.00508045027958524
"lambdar0" "3" "2" "25" "LASSO" 0.1
"kappa" "3" "2" "25" "LASSO" 0
"condnum" "3" "2" "25" "LASSO" 23.5116240715276
"EL" "3" "2" "25" "LASSO" 0.0949504022228354
"RMSE" "3" "2" "25" "LASSO" 0.00400045609613095
"F1" "3" "2" "25" "LASSO" 1
"eTPR" "3" "2" "25" "LASSO" 1
