"metric" "n_bands" "simulation" "n" "method" "value"
"kappa" "A" "A" "A" "MLE" 1e-04
"condnum" "A" "A" "A" "MLE" 1e-04
"EL" "A" "A" "A" "MLE" 1e-04
"RMSE" "A" "A" "A" "MLE" 1e-04
"kappa" "B" "A" "A" "MLE" 1e-04
"condnum" "B" "A" "A" "MLE" 1e-04
"EL" "B" "A" "A" "MLE" 1e-04
"RMSE" "B" "A" "A" "MLE" 1e-04
"kappa" "C" "A" "A" "MLE" 1e-04
"condnum" "C" "A" "A" "MLE" 1e-04
"EL" "C" "A" "A" "MLE" 1e-04
"RMSE" "C" "A" "A" "MLE" 1e-04
"kappa" "A" "B" "A" "MLE" 1e-04
"condnum" "A" "B" "A" "MLE" 1e-04
"EL" "A" "B" "A" "MLE" 1e-04
"RMSE" "A" "B" "A" "MLE" 1e-04
"kappa" "B" "B" "A" "MLE" 1e-04
"condnum" "B" "B" "A" "MLE" 1e-04
"EL" "B" "B" "A" "MLE" 1e-04
"RMSE" "B" "B" "A" "MLE" 1e-04
"kappa" "C" "B" "A" "MLE" 1e-04
"condnum" "C" "B" "A" "MLE" 1e-04
"EL" "C" "B" "A" "MLE" 1e-04
"RMSE" "C" "B" "A" "MLE" 1e-04
"kappa" "A" "C" "A" "MLE" 1e-04
"condnum" "A" "C" "A" "MLE" 1e-04
"EL" "A" "C" "A" "MLE" 1e-04
"RMSE" "A" "C" "A" "MLE" 1e-04
"kappa" "B" "C" "A" "MLE" 1e-04
"condnum" "B" "C" "A" "MLE" 1e-04
"EL" "B" "C" "A" "MLE" 1e-04
"RMSE" "B" "C" "A" "MLE" 1e-04
"kappa" "C" "C" "A" "MLE" 1e-04
"condnum" "C" "C" "A" "MLE" 1e-04
"EL" "C" "C" "A" "MLE" 1e-04
"RMSE" "C" "C" "A" "MLE" 1e-04
"kappa" "A" "D" "A" "MLE" 1e-04
"condnum" "A" "D" "A" "MLE" 1e-04
"EL" "A" "D" "A" "MLE" 1e-04
"RMSE" "A" "D" "A" "MLE" 1e-04
"kappa" "B" "D" "A" "MLE" 1e-04
"condnum" "B" "D" "A" "MLE" 1e-04
"EL" "B" "D" "A" "MLE" 1e-04
"RMSE" "B" "D" "A" "MLE" 1e-04
"kappa" "C" "D" "A" "MLE" 1e-04
"condnum" "C" "D" "A" "MLE" 1e-04
"EL" "C" "D" "A" "MLE" 1e-04
"RMSE" "C" "D" "A" "MLE" 1e-04
"kappa" "A" "E" "A" "MLE" 1e-04
"condnum" "A" "E" "A" "MLE" 1e-04
"EL" "A" "E" "A" "MLE" 1e-04
"RMSE" "A" "E" "A" "MLE" 1e-04
"kappa" "B" "E" "A" "MLE" 1e-04
"condnum" "B" "E" "A" "MLE" 1e-04
"EL" "B" "E" "A" "MLE" 1e-04
"RMSE" "B" "E" "A" "MLE" 1e-04
"kappa" "C" "E" "A" "MLE" 1e-04
"condnum" "C" "E" "A" "MLE" 1e-04
"EL" "C" "E" "A" "MLE" 1e-04
"RMSE" "C" "E" "A" "MLE" 1e-04
"kappa" "A" "F" "A" "MLE" 1e-04
"condnum" "A" "F" "A" "MLE" 1e-04
"EL" "A" "F" "A" "MLE" 1e-04
"RMSE" "A" "F" "A" "MLE" 1e-04
"kappa" "B" "F" "A" "MLE" 1e-04
"condnum" "B" "F" "A" "MLE" 1e-04
"EL" "B" "F" "A" "MLE" 1e-04
"RMSE" "B" "F" "A" "MLE" 1e-04
"kappa" "C" "F" "A" "MLE" 1e-04
"condnum" "C" "F" "A" "MLE" 1e-04
"EL" "C" "F" "A" "MLE" 1e-04
"RMSE" "C" "F" "A" "MLE" 1e-04
"kappa" "A" "G" "A" "MLE" 1e-04
"condnum" "A" "G" "A" "MLE" 1e-04
"EL" "A" "G" "A" "MLE" 1e-04
"RMSE" "A" "G" "A" "MLE" 1e-04
"kappa" "B" "G" "A" "MLE" 1e-04
"condnum" "B" "G" "A" "MLE" 1e-04
"EL" "B" "G" "A" "MLE" 1e-04
"RMSE" "B" "G" "A" "MLE" 1e-04
"kappa" "C" "G" "A" "MLE" 1e-04
"condnum" "C" "G" "A" "MLE" 1e-04
"EL" "C" "G" "A" "MLE" 1e-04
"RMSE" "C" "G" "A" "MLE" 1e-04
"kappa" "A" "H" "A" "MLE" 1e-04
"condnum" "A" "H" "A" "MLE" 1e-04
"EL" "A" "H" "A" "MLE" 1e-04
"RMSE" "A" "H" "A" "MLE" 1e-04
"kappa" "B" "H" "A" "MLE" 1e-04
"condnum" "B" "H" "A" "MLE" 1e-04
"EL" "B" "H" "A" "MLE" 1e-04
"RMSE" "B" "H" "A" "MLE" 1e-04
"kappa" "C" "H" "A" "MLE" 1e-04
"condnum" "C" "H" "A" "MLE" 1e-04
"EL" "C" "H" "A" "MLE" 1e-04
"RMSE" "C" "H" "A" "MLE" 1e-04
"kappa" "A" "I" "A" "MLE" 1e-04
"condnum" "A" "I" "A" "MLE" 1e-04
"EL" "A" "I" "A" "MLE" 1e-04
"RMSE" "A" "I" "A" "MLE" 1e-04
"kappa" "B" "I" "A" "MLE" 1e-04
"condnum" "B" "I" "A" "MLE" 1e-04
"EL" "B" "I" "A" "MLE" 1e-04
"RMSE" "B" "I" "A" "MLE" 1e-04
"kappa" "C" "I" "A" "MLE" 1e-04
"condnum" "C" "I" "A" "MLE" 1e-04
"EL" "C" "I" "A" "MLE" 1e-04
"RMSE" "C" "I" "A" "MLE" 1e-04
"kappa" "A" "J" "A" "MLE" 1e-04
"condnum" "A" "J" "A" "MLE" 1e-04
"EL" "A" "J" "A" "MLE" 1e-04
"RMSE" "A" "J" "A" "MLE" 1e-04
"kappa" "B" "J" "A" "MLE" 1e-04
"condnum" "B" "J" "A" "MLE" 1e-04
