"metric" "n_bands" "simulation" "p" "method" "value"
"lambda" "3" "1" "25" "LASSO" 0
"lambdar0" "3" "1" "25" "LASSO" 0
"kappa" "3" "1" "25" "LASSO" 0
"condnum" "3" "1" "25" "LASSO" 23.9618192889068
"EL" "3" "1" "25" "LASSO" 0.0456669466537782
"RMSE" "3" "1" "25" "LASSO" 0.00212124545797809
"F1" "3" "1" "25" "LASSO" 1
"eTPR" "3" "1" "25" "LASSO" 1
"eTNR" "3" "1" "25" "LASSO" 1
"ePPV" "3" "1" "25" "LASSO" 1
"d" "3" "1" "25" "LASSO" 0.23
"iters" "3" "1" "25" "LASSO" 10
"time.user.self" "3" "1" "25" "LASSO" 0
"time.sys.self" "3" "1" "25" "LASSO" 0
"time.elapsed" "3" "1" "25" "LASSO" 0
"time.user.child" "3" "1" "25" "LASSO" NA
"time.sys.child" "3" "1" "25" "LASSO" NA
"cv.iters" "3" "1" "25" "LASSO" NA
"cv.time.user.self" "3" "1" "25" "LASSO" 0.00250000000000014
"cv.time.sys.self" "3" "1" "25" "LASSO" 0
"cv.time.elapsed" "3" "1" "25" "LASSO" 0.00250000000029104
"cv.time.user.child" "3" "1" "25" "LASSO" NA
"cv.time.sys.child" "3" "1" "25" "LASSO" NA
"cv.all.time.user.self" "3" "1" "25" "LASSO" 0.250000000000014
"cv.all.time.sys.self" "3" "1" "25" "LASSO" 0
"cv.all.time.elapsed" "3" "1" "25" "LASSO" 0.250000000029104
"cv.all.time.user.child" "3" "1" "25" "LASSO" NA
"cv.all.time.sys.child" "3" "1" "25" "LASSO" NA
"n.cv.par" "3" "1" "25" "LASSO" 20
"lambda" "10" "1" "25" "LASSO" 0
"lambdar0" "10" "1" "25" "LASSO" 0
"kappa" "10" "1" "25" "LASSO" 0
"condnum" "10" "1" "25" "LASSO" 24.8656834547447
"EL" "10" "1" "25" "LASSO" 0.11164694859789
"RMSE" "10" "1" "25" "LASSO" 0.00534438361863882
"F1" "10" "1" "25" "LASSO" 1
"eTPR" "10" "1" "25" "LASSO" 1
"eTNR" "10" "1" "25" "LASSO" 1
"ePPV" "10" "1" "25" "LASSO" 1
"d" "10" "1" "25" "LASSO" 0.65
"iters" "10" "1" "25" "LASSO" 13
"time.user.self" "10" "1" "25" "LASSO" 0
"time.sys.self" "10" "1" "25" "LASSO" 0
"time.elapsed" "10" "1" "25" "LASSO" 0
"time.user.child" "10" "1" "25" "LASSO" NA
"time.sys.child" "10" "1" "25" "LASSO" NA
"cv.iters" "10" "1" "25" "LASSO" NA
"cv.time.user.self" "10" "1" "25" "LASSO" 0.00449999999975262
"cv.time.sys.self" "10" "1" "25" "LASSO" 0
"cv.time.elapsed" "10" "1" "25" "LASSO" 0.00369999999937136
"cv.time.user.child" "10" "1" "25" "LASSO" NA
"cv.time.sys.child" "10" "1" "25" "LASSO" NA
"cv.all.time.user.self" "10" "1" "25" "LASSO" 0.449999999975262
"cv.all.time.sys.self" "10" "1" "25" "LASSO" 0
"cv.all.time.elapsed" "10" "1" "25" "LASSO" 0.369999999937136
"cv.all.time.user.child" "10" "1" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "1" "25" "LASSO" NA
"n.cv.par" "10" "1" "25" "LASSO" 20
"lambda" "3" "2" "25" "LASSO" 0
"lambdar0" "3" "2" "25" "LASSO" 0
"kappa" "3" "2" "25" "LASSO" 0
"condnum" "3" "2" "25" "LASSO" 26.131171720767
"EL" "3" "2" "25" "LASSO" 0.0537044018579032
"RMSE" "3" "2" "25" "LASSO" 0.00237106311808999
"F1" "3" "2" "25" "LASSO" 1
"eTPR" "3" "2" "25" "LASSO" 1
"eTNR" "3" "2" "25" "LASSO" 1
"ePPV" "3" "2" "25" "LASSO" 1
"d" "3" "2" "25" "LASSO" 0.23
"iters" "3" "2" "25" "LASSO" 11
"time.user.self" "3" "2" "25" "LASSO" 0.0199999999999818
"time.sys.self" "3" "2" "25" "LASSO" 0
"time.elapsed" "3" "2" "25" "LASSO" 0.0200000000186265
"time.user.child" "3" "2" "25" "LASSO" NA
"time.sys.child" "3" "2" "25" "LASSO" NA
"cv.iters" "3" "2" "25" "LASSO" NA
"cv.time.user.self" "3" "2" "25" "LASSO" 0.003599999999999
"cv.time.sys.self" "3" "2" "25" "LASSO" 0
"cv.time.elapsed" "3" "2" "25" "LASSO" 0.00349999999976717
"cv.time.user.child" "3" "2" "25" "LASSO" NA
"cv.time.sys.child" "3" "2" "25" "LASSO" NA
"cv.all.time.user.self" "3" "2" "25" "LASSO" 0.3599999999999
"cv.all.time.sys.self" "3" "2" "25" "LASSO" 0
"cv.all.time.elapsed" "3" "2" "25" "LASSO" 0.349999999976717
"cv.all.time.user.child" "3" "2" "25" "LASSO" NA
"cv.all.time.sys.child" "3" "2" "25" "LASSO" NA
"n.cv.par" "3" "2" "25" "LASSO" 20
"lambda" "10" "2" "25" "LASSO" 0
"lambdar0" "10" "2" "25" "LASSO" 0
"kappa" "10" "2" "25" "LASSO" 0
"condnum" "10" "2" "25" "LASSO" 24.6994415479152
"EL" "10" "2" "25" "LASSO" 0.113578241011862
"RMSE" "10" "2" "25" "LASSO" 0.00555197354268808
"F1" "10" "2" "25" "LASSO" 1
"eTPR" "10" "2" "25" "LASSO" 1
"eTNR" "10" "2" "25" "LASSO" 1
"ePPV" "10" "2" "25" "LASSO" 1
"d" "10" "2" "25" "LASSO" 0.65
"iters" "10" "2" "25" "LASSO" 14
"time.user.self" "10" "2" "25" "LASSO" 0.0199999999967986
"time.sys.self" "10" "2" "25" "LASSO" 0
"time.elapsed" "10" "2" "25" "LASSO" 0
"time.user.child" "10" "2" "25" "LASSO" NA
"time.sys.child" "10" "2" "25" "LASSO" NA
"cv.iters" "10" "2" "25" "LASSO" NA
"cv.time.user.self" "10" "2" "25" "LASSO" 0.00389999999992142
"cv.time.sys.self" "10" "2" "25" "LASSO" 0
"cv.time.elapsed" "10" "2" "25" "LASSO" 0.00359999999811407
"cv.time.user.child" "10" "2" "25" "LASSO" NA
"cv.time.sys.child" "10" "2" "25" "LASSO" NA
"cv.all.time.user.self" "10" "2" "25" "LASSO" 0.389999999992142
"cv.all.time.sys.self" "10" "2" "25" "LASSO" 0
"cv.all.time.elapsed" "10" "2" "25" "LASSO" 0.359999999811407
"cv.all.time.user.child" "10" "2" "25" "LASSO" NA
"cv.all.time.sys.child" "10" "2" "25" "LASSO" NA
"n.cv.par" "10" "2" "25" "LASSO" 20
"lambda" "3" "3" "25" "LASSO" 0
"lambdar0" "3" "3" "25" "LASSO" 0
"kappa" "3" "3" "25" "LASSO" 0
"condnum" "3" "3" "25" "LASSO" 24.6307671436635
"EL" "3" "3" "25" "LASSO" 0.0560889267159332
"RMSE" "3" "3" "25" "LASSO" 0.00248434210885974
"F1" "3" "3" "25" "LASSO" 1
"eTPR" "3" "3" "25" "LASSO" 1
"eTNR" "3" "3" "25" "LASSO" 1
"ePPV" "3" "3" "25" "LASSO" 1
"d" "3" "3" "25" "LASSO" 0.23
"iters" "3" "3" "25" "LASSO" 11
"time.user.self" "3" "3" "25" "LASSO" 0.0199999999999818
"time.sys.self" "3" "3" "25" "LASSO" 0
"time.elapsed" "3" "3" "25" "LASSO" 0.0100000000093132
"time.user.child" "3" "3" "25" "LASSO" NA
"time.sys.child" "3" "3" "25" "LASSO" NA
"cv.iters" "3" "3" "25" "LASSO" NA
"cv.time.user.self" "3" "3" "25" "LASSO" 0.00259999999999877
"cv.time.sys.self" "3" "3" "25" "LASSO" 0
"cv.time.elapsed" "3" "3" "25" "LASSO" 0.0038000000003376
"cv.time.user.child" "3" "3" "25" "LASSO" NA
